M,C,TimeSeconds,CPUSeconds,MemoryKB
6,1,0.0160255,0.014707,724992
6,2,0.0202126,0.018953,724992
6,3,0.0251527,0.023787,753664
6,4,0.0303161,0.028508,774144
7,1,0.0215419,0.019867,802816
7,2,0.0307453,0.028787,827392
7,3,0.0406118,0.038307,905216
7,4,0.0483816,0.046508,876544
8,1,0.0297371,0.028281,958464
8,2,0.0473342,0.045749,950272
8,3,0.0649272,0.063287,958464
8,4,0.0813952,0.079822,946176
9,1,0.0482687,0.046705,1.2329e+06
9,2,0.083961,0.082291,1.20832e+06
9,3,0.117805,0.116365,1.22061e+06
9,4,0.153068,0.151465,1.22061e+06
10,1,0.0866845,0.084105,1.78586e+06
10,2,0.157324,0.154689,1.76947e+06
10,3,0.225519,0.22338,1.75718e+06
10,4,0.295844,0.293305,1.76947e+06
