block,time,difficulty
1,1746325199,4.656542373906925e-10
2,1746325209,4.656542373906925e-10
3,1746325219,4.656542373906925e-10
4,1746325229,4.656542373906925e-10
5,1746325239,2.328273129816194e-09
6,1746325249,2.328273129816194e-09
7,1746325259,2.328273129816194e-09
8,1746325269,2.328273129816194e-09
9,1746325279,2.328273129816194e-09
10,1746325289,2.328273129816194e-09
11,1746325291,2.328273129816194e-09
12,1746325293,1.164136564908097e-08
13,1746325295,5.82075221338026e-08
14,1746325298,2.910376614915318e-07
15,1746325300,9.701261971160982e-07
16,1746325303,4.850645103009568e-06
17,1746325333,1.616894772840503e-05
18,1746325339,5.389649242801677e-06
19,1746325344,8.982813291271603e-06
20,1746325346,1.796562658254321e-05
21,1746325399,8.982813921679194e-05
22,1746325441,2.245743669625713e-05
23,1746325462,5.614359174064283e-06
24,1746325483,2.673505798149738e-06
25,1746325504,1.273098809521062e-06
26,1746325525,6.062376386022478e-07
27,1746325545,2.886846148126156e-07
28,1746325566,1.443423074063078e-07
29,1746325586,6.873465415018871e-08
30,1746325606,3.436732707509436e-08
31,1746325616,1.718366353754718e-08
32,1746325626,1.718366353754718e-08
33,1746325636,1.718366353754718e-08
34,1746325646,1.718366353754718e-08
35,1746325656,1.718366353754718e-08
36,1746325666,1.718366353754718e-08
37,1746325676,1.718366353754718e-08
38,1746325686,1.718366353754718e-08
39,1746325696,1.718366353754718e-08
40,1746325706,1.718366353754718e-08
